"Kategorija";"Od";"Do";"Dolzina";"Vsa vozila"
"AC";"MP ŠENTILJ";"POEIVALIŠEE ŠENTILJ";"482";"23710"
"AC";"POEIVALIŠEE ŠENTILJ";"ŠENTILJ";"655";"23260"
"AC";"PRIKLJ.ŠENTILJ";"MP ŠENTILJ";"1646";"450"
"AC";"ŠENTILJ";"PESNICA";"9761";"28598"
"AC";"PESNICA";"DRAGUEOVA";"2570";"28800"
"AC";"DRAGUEOVA";"MB (ZRKOVSKA)";"4452";"37020"
"AC";"MB (ZRKOVSKA)";"MB (PTUJSKA)";"3318";"37200"
"AC";"MB (PTUJSKA)";"ROGOZA";"2590";"43826"
"AC";"ROGOZA";"SLIVNICA";"2267";"41500"
"AC";"SLIVNICA";"FRAM";"1910";"46157"
"AC";"PRIKLJ. FRAM";"MB";"1000";"6815"
"AC";"PRIKLJ. FRAM";"CE";"368";"2667"
"AC";"FRAM";"SL.BISTRICA-SEVER";"6785";"42009"
"AC";"SL.BISTRICA";"SEVER-JUG";"2948";"43736"
"AC";"PRIKLJ. SL. BISTRICA J.";"MB";"400";"9700"
"AC";"PRIKLJ. SL. BISTRICA J";"CE";"1238";"4500"
"AC";"SL.BISTRICA";"SL.KONJICE";"9119";"38536"
"AC";"PRIKLJ. SL. KONJICE";"MB";"900";"5200"
"AC";"PRIKLJ. SL. KONJICE";"CE";"890";"3754"
"AC";"SL.KONJICE";"DRAMLJE";"10886";"37090"
"AC";"PRIKLJ. DRAMLJE";"MB";"600";"2139"
"AC";"PRIKLJ. DRAMLJE";"CE";"515";"5219"
"AC";"DRAMLJE";"LJUBEENA";"6436";"40170"
"AC";"LJUBEENA";"CELJE";"2001";"41400"
"AC";"CELJE";"CELJE ZAHOD";"5261";"44500"
"AC";"CELJE ZAHOD";"ARJA VAS";"2249";"49800"
"AC";"ARJA VAS";"ŠEMPETER";"7511";"45286"
"AC";"ŠEMPETER";"ŠENTRUPERT";"2141";"43700"
"AC";"ŠENTRUPERT";"VRANSKO";"7899";"42090"
"AC";"VRANSKO";"TROJANE";"9940";"39500"
"AC";"TROJANE";"BLAGOVICA";"8683";"42665"
"AC";"PRIKLJ.BLAGOVICA";"CE";"200";"270"
"AC";"PRIKLJ. BLAGOVICA";"LJ";"329";"1094"
"AC";"BLAGOVICA";"LUKOVICA";"8821";"43489"
"AC";"LUKOVICA";"KRTINA";"3644";"45000"
"AC";"KRTINA";"DOMŽALE";"3485";"49150"
"AC";"DOMŽALE";"ŠENTJAKOB";"5402";"57409"
"AC";"ŠENTJAKOB";"SNEBERJE";"1159";"70500"
"AC";"SNEBERJE";"LJ (ZADOBRAVA)";"386";"72564"
"AC";"LJ (ZADOBRAVA)";"R LJ ZADOBROVA";"1321";"36616"
"AC";"R LJ ZADOBROVA";"IND. CONA MOSTE";"536";"80500"
"AC";"LJ (IND. CONA MOSTE)";"LJ (ZALOŠKA)";"794";"79500"
"AC";"LJ (ZALOŠKA)";"LJ (LITIJSKA)";"1277";"70000"
"AC";"LJ (LITIJSKA)";"LJ (MALENCE)";"3460";"66380"
"AC";"LJ (LITIJSKA)";"LJ (MALENCE)";"519";"43000"
"AC";"LJ (MALENCE)";"LJ (DOLENJSKA C.)";"456";"77500"
"AC";"LJ (DOLENJSKA)";"LJ (PERUZIJEVA)";"2098";"67000"
"AC";"LJ (PERUZIJEVA)";"LJ (BARJANSKA)";"1845";"70633"
"AC";"LJ (BARJANSKA)";"LJ (VIE)";"2758";"68000"
"AC";"LJ (VIE)";"LJ (KOZARJE)";"794";"77600"
"AC";"LJ (KOZARJE)";"LJ (RAZEP KOZARJE)";"838";"39600"
"AC";"LJ (RAZEP KOZARJE)";"BREZOVICA";"1570";"77700"
"AC";"BREZOVICA";"VRHNIKA";"12424";"65477"
"AC";"PRIKLJ. VRHNIKA";"LJ";"1120";"12200"
"AC";"PRIKLJ. VRHNIKA";"KP";"261";"3723"
"AC";"VRHNIKA";"LOGATEC";"8279";"57000"
"AC";"LOGATEC";"UNEC";"10422";"51687"
"AC";"PRIKLJ. UNEC";"LJ";"404";"5100"
"AC";"PRIKLJ. UNEC";"KP";"384";"2400"
"AC";"UNEC";"POSTOJNA";"11375";"48987"
"AC";"PRIKLJ. POSTOJNA";"LJ";"900";"10000"
"AC";"PRIKLJ. POSTOJNA";"KP";"278";"4500"
"AC";"POSTOJNA";"RAZDRTO";"9581";"43487"
"AC";"RAZDRTO";"NANOS";"1601";"44037"
"AC";"PRIKLJ. RAZDRTO";"LJ";"250";"1100"
"AC";"PRIKLJ. RAZDRTO";"KP";"448";"1650"
"AC";"NANOS";"SENOŽEEE";"5458";"33164"
"AC";"SENOŽEEE";"GABRK";"4384";"33806"
"AC";"GABRK";"DIVAEA";"2873";"25089"
"AC";"DIVAEA";"KOZINA";"7151";"25747"
"AC";"PRIKLJ. KOZINA";"LJ";"700";"3657"
"AC";"PRIKLJ. KOZINA";"KP";"1495";"3808"
"AC";"KOZINA";"KASTELEC";"8598";"25898"
"AC";"KASTELEC";"ERNI KAL";"3220";"26100"
"AC";"ERNI KAL";"RAZCEP SERMIN";"6662";"26487"
"AC";"RAZCEP SERMIN";"H5";"454";"25000"
"AC";"MP KARAVANKE";"HRUŠICA";"5361";"11566"
"AC";"HRUŠICA";"LIPCE";"7154";"17800"
"AC";"LIPCE";"LESCE";"7950";"23889"
"AC";"PRIKLJ. LESCE";"JESENICE";"545";"5428"
"AC";"PRIKLJ. LESCE";"KRANJ";"588";"12244"
"AC";"LESCE";"RADOVLJICA";"3780";"30705"
"AC";"RADOVLJICA";"BREZJE";"2933";"36400"
"AC";"BREZJE";"PODTABOR";"5002";"37800"
"AC";"PODTABOR";"NAKLO";"3567";"48000"
"AC";"NAKLO";"KRANJ Z";"3746";"43700"
"AC";"KRANJ Z";"KRANJ V";"5674";"40000"
"AC";"KRANJ V";"BRNIK";"3900";"44500"
"AC";"BRNIK";"VODICE";"5246";"49271"
"AC";"VODICE";"LJ ( ŠMARTNO)";"6968";"55454"
"AC";"LJ (ŠMARTNO)";"LJ (BROD)";"2374";"58000"
"AC";"LJ (BROD)";"LJ (ŠENTVID)";"510";"56400"
"AC";"LJ (ŠENTVID)";"LJ (PODUTIK)";"3057";"54425"
"AC";"LJ (PODUTIK)";"LJ (KOSEZE)";"402";"52300"
"AC";"RAZCEP KOSEZE";"KOSEZE";"673";"38700"
"AC";"LJ (KOSEZE)";"LJ (BRDO)";"1088";"86700"
"AC";"LJ (BRDO)";"LJ (KOZARJE)";"1700";"75925"
"AC";"LJ (KOZARJE)";"RAZCEP KOZARJE";"692";"38000"
"AC";"LJ (MALENCE)";"RAZCEP MALENCE";"484";"34500"
"AC";"RAZCEP MALENCE";"ŠMARJE-SAP";"5554";"56831"
"AC";"PRIKLJ. ŠMARJE";"SAP NM";"926";"2800"
"AC";"ŠMARJE SAP";"CIKAVA";"1779";"56100"
"AC";"CIKAVA";"GROSUPLJE";"2094";"46200"
"AC";"GROSUPLJE";"VIŠNJA GORA";"6740";"43000"
"AC";"VIŠNJA GORA";"IVANENA GORICA";"6321";"41314"
"AC";"IVANENA GORICA";"BIE";"6889";"31969"
"AC";"BIE";"TREBNJE Z";"7403";"31300"
"AC";"TREBNJE Z";"TREBNJE V";"6980";"26500"
"AC";"TREBNJE V";"PRIKLJ. MIRNA PEE";"4557";"30200"
"AC";"PRIKLJ. MIRNA PEE";"NM PRIKLJ. Z";"6288";"29680"
"AC";"NM PRIKLJ. Z";"NM PRIKLJ. V";"2323";"24000"
"AC";"NM PRIKLJ.V";"KRONOVO";"6338";"25600"
"AC";"KRONOVO";"DOBRUŠKA VAS";"6040";"24050"
"AC";"DOBRUŠKA VAS";"SMEDNIK";"5896";"22000"
"AC";"SMEDNIK";"DRNOVO";"7758";"21480"
"AC";"PRIKLJ. DRNOVO";"NM";"2300";"5373"
"AC";"PRIKLJ. DRNOVO";"EATEŽ";"544";"2135"
"AC";"DRNOVO";"BREŽICE";"11717";"18242"
"AC";"BREŽICE";"PRIKLJ. OBREŽJE";"7008";"16500"
"AC";"PRIKLJ. OBREŽJE";"OBREŽJE TERMINAL";"963";"15000"
"AC";"OBREŽJE TERMINAL";"MP OBREŽJE";"563";"12650"
"AC";"GABRK";"SEŽANA V";"7977";"13796"
